;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Дата отчета;;06.07.2018;06.07.2018;06.07.2018;06.07.2018;30.04.2020;30.04.2020;28.04.2021;26.04.2022;27.04.2023;24.04.2024;24.04.2025;31.03.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;0.019;0.027;0.034;0.028;0.032;0.041;0.041;0.056;0.038;0.062;0.072;0.077
Чистая прибыль, млрд руб;;-0.014;0.035;0.066;0.009;0.004;0.061;0.020;0.053;-0.082;0.109;-0.008;-0.001
Операционный денежный поток, млрд руб;;;;;;;;;-0.001;-0.013;0.008;-0.008;0.021
FCF, млрд руб;;;;;;;;;-0.006;-0.017;;;
Див.выплата, млрд руб;;;0.000;0.000;;0.019;0.020;;;;0.062;0.019;
Дивиденд, руб/акцию;;;0;0;;0,15;0,16;;;;0,5;0,15;
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;4.8%;4.9%;0.0%;0.0%;0.0%;4.5%;1.4%;0.0%
Дивиденды/прибыль, %;;0%;0%;0%;0%;475%;33%;0%;0%;0%;57%;0%;0%
Опер. расходы, млрд руб;;0.134;0.125;0.118;0.182;0.095;0.133;0.223;0.023;0.025;0.023;0.038;0.079
Себестоимость, млрд руб;;;;0.013;0.015;0.018;0.022;0.027;0.033;0.027;0.030;0.039;
Расх на персонал, млрд руб;;;;;;;;;0.033;0.037;;;0.050
Активы, млрд руб;;;;;;;;0.266;0.292;0.205;0.322;0.247;0.231
Чистые активы, млрд руб;;0.098;0.133;0.196;0.198;0.204;0.250;0.250;0.275;0.193;0.302;0.232;0.213
Долг, млрд руб;;;;;;;0.005;0.006;0.000;0.000;0.000;0.000;0.007
Наличность, млрд руб;;;;0.001;0.001;0.078;0.000;0.000;0.000;0.003;0.000;0.000;0.001
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;0.00;-0.08;0.00;0.01;0.00;0.00;0.00;0.00;0.01
Цена акции ао, руб;0.750;0.640;1.29;3.42;3.30;3.10;3.28;3.80;7.57;5.01;11.0;10.6;8.44
Число акций ао, млн;;;;;123.8;123.8;123.8;123.8;123.8;123.8;123.8;123.8;123.8
Free Float, %;33.5%;33.1%;29.0%;17.0%;;;;;;;;;
Инсайдерское владение, %;66.5%;66.9%;71.0%;83.0%;;;;;;;;;
Капитализация, млрд руб;0.00;0.00;0.00;0.00;0.41;0.38;0.41;0.47;0.94;0.62;1.36;1.32;1.05
EV, млрд руб;0.00;0.00;0.00;0.00;0.41;0.31;0.41;0.48;0.94;0.62;1.36;1.32;1.05
Баланс стоимость, млрд руб;0.00;0.10;0.13;0.20;0.20;0.20;0.25;0.25;0.28;0.19;0.30;0.23;0.21
EPS, руб;;;;;0.07;0.03;0.49;0.16;0.43;-0.66;0.88;-0.06;-0.01
FCF/акцию, руб;;;;;0.00;0.00;0.00;0.00;-0.05;-0.14;0.00;0.00;0.00
BV/акцию, руб;;;;;1.60;1.65;2.02;2.02;2.22;1.56;2.44;1.87;1.72
Рентаб EBITDA, %;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Чистая рентаб, %;;-73.7%;129.6%;194.1%;32.1%;12.5%;148.8%;48.8%;94.6%;-215.8%;175.8%;-11.1%;-1.3%
Доходность FCF, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-0.6%;-2.7%;0.0%;0.0%;0.0%
ROE, %;;-14.3%;26.3%;33.7%;4.5%;2.0%;24.4%;8.0%;19.3%;-42.5%;36.1%;-3.4%;-0.5%
ROA, %;;;;;;;;7.5%;18.2%;-40.0%;33.9%;-3.2%;-0.4%
P/E;;0.00;0.00;0.00;45.4;96.0;6.66;23.5;17.7;-7.56;12.5;-164.5;-1 045
P/FCF;;;;;;;;;-156.2;-36.5;;;
P/S;;0.00;0.00;0.00;14.6;12.0;9.91;11.5;16.7;16.3;22.0;18.3;13.6
P/BV;;0.00;0.00;0.00;2.06;1.88;1.62;1.88;3.41;3.21;4.51;5.67;4.91
Персонал, чел;17;19;19;19;23;;;24;;21;21;20;
Производительность труда, млн руб/чел/год;0.00;1.00;1.42;1.79;1.22;;;1.71;;1.81;2.95;3.60;
Расходы/чел/год, тыс.р;0.00;0.00;0.00;0.00;0.00;;;0.00;;1 762;0.00;0.00;
CAPEX/Выручка, %;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
Процентные расходы , млрд руб;;;;;;;;;;;;;0.001
