;2022;2023;2024;2025;LTM
Дата отчета;;14.02.2025;01.05.2025;30.04.2026;01.05.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;1.39;3.57;4.92;3.57
Операционная прибыль, млрд руб;;0.048;0.371;0.478;
EBITDA, млрд руб;;0.087;0.476;-0.311;
Чистая прибыль, млрд руб;;-0.277;0.104;-0.013;0.104
Чистая прибыль н/с, млрд руб;;-0.048;;;
Операционный денежный поток, млрд руб;;0.089;-0.335;0.336;
CAPEX, млрд руб;;0.223;0.558;0.271;
FCF, млрд руб;;-0.223;-1.20;-0.477;
Див.выплата, млрд руб;;;0.046;;0.046
Дивиденд, руб/акцию;;;0,05;;0,05
Див доход, ао, %;;;1.3%;0.0%;1.5%
Дивиденды/прибыль, %;;0%;44%;0%;44%
Опер. расходы, млрд руб;;0.493;0.966;1.20;0.966
Себестоимость, млрд руб;;1.09;2.57;3.55;2.57
Амортизация, млрд руб;;0.0;0.1;0.1;
Расх на персонал, млрд руб;;0.091;0.248;0.288;
Процентные расходы, млрд руб;;0.048;0.189;0.367;
Активы, млрд руб;4.15;4.21;5.36;7.03;5.36
Чистые активы, млрд руб;1.24;1.19;2.23;2.19;2.23
Долг, млрд руб;0.992;1.08;1.33;1.84;1.33
Наличность, млрд руб;0.160;0.028;0.021;0.039;0.021
Чистый долг, млрд руб;0.83;1.05;1.31;1.80;1.31
Цена акции ао, руб;;;3.79;3.10;3.30
Число акций ао, млн;;921.1;921.1;921.1;921.1
Капитализация, млрд руб;0.00;0.00;3.49;2.85;3.04
EV, млрд руб;0.83;1.05;4.80;4.65;4.35
Баланс стоимость, млрд руб;1.20;1.11;1.20;1.32;1.20
EPS, руб;;-0.30;0.11;-0.01;0.11
FCF/акцию, руб;;-0.24;-1.30;-0.52;0
BV/акцию, руб;;1.20;1.30;1.44;1.30
Рентаб EBITDA, %;;6.3%;13.3%;-6.3%;0
Чистая рентаб, %;;-20.0%;2.9%;-0.3%;2.9%
Доходность FCF, %;;;-34.4%;-16.7%;0.0%
ROE, %;0.0%;-23.3%;4.7%;-0.6%;4.7%
ROA, %;0.0%;-6.6%;1.9%;-0.2%;1.9%
P/E;;0.00;33.5;-219.4;29.2
P/FCF;;0.00;-2.91;-5.98;
P/S;;0.00;0.98;0.58;0.85
P/BV;0.00;0.00;2.91;2.15;2.53
EV/EBITDA;;12.0;10.1;-14.9;
Долг/EBITDA;;12.0;2.75;-5.78;
R&D/CAPEX, %;;0.00%;0.00%;0.00%;
CAPEX/Выручка, %;;16%;16%;6%;0
