;2013;2014;2015;2018;2022;2023;2024;2025
Дата отчета;;;;;06.08.2025;06.08.2025;06.08.2025;23.04.2026
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;;;;22.1;26.2;33.1;24.2
Операционная прибыль, млрд руб;;;;;2.10;2.42;1.77;0.934
EBITDA, млрд руб;;;;;2.33;2.62;2.03;1.25
Чистая прибыль, млрд руб;;;;;0.106;2.16;1.30;1.18
Операционный денежный поток, млрд руб;;;;;1.69;2.69;4.49;-7.12
CAPEX, млрд руб;;;;;0.455;0.688;0.878;0.905
FCF, млрд руб;;;;;2.88;-0.114;4.47;-6.02
Див.выплата, млрд руб;;;;0.000;;;;
Дивиденд, руб/акцию;;;;0;;;;
Див доход, ао, %;;;;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;;;;0%;0%;0%;0%
Опер. расходы, млрд руб;;;;;1.53;1.42;1.69;2.17
Себестоимость, млрд руб;;;;;18.5;22.3;29.6;21.1
Амортизация, млрд руб;;;;;0.2;0.2;0.3;0.3
Расх на персонал, млрд руб;;;;;1.86;2.70;4.06;3.21
Процентные расходы, млрд руб;;;;;0.400;0.570;0.487;0.649
Активы, млрд руб;;;;;18.6;25.5;32.5;23.6
Чистые активы, млрд руб;;;;;9.47;11.5;12.8;13.9
Долг, млрд руб;;;;;3.00;2.88;2.45;0.752
Наличность, млрд руб;;;;;5.91;5.64;9.70;2.03
Чистый долг, млрд руб;0.00;0.00;0.00;0.00;-2.91;-2.77;-7.25;-1.27
Цена акции ао, руб;;;;1 600;5 200;14 280;8 500;9 520
Число акций ао, млн;1.57;1.57;1.57;1.57;1.57;1.57;1.57;1.57
Капитализация, млрд руб;0.00;0.00;0.00;2.51;8.15;22.4;13.3;14.9
EV, млрд руб;0.00;0.00;0.00;2.51;5.24;19.6;6.08;13.7
Баланс стоимость, млрд руб;0.00;0.00;0.00;0.00;8.97;10.6;11.6;12.5
EPS, руб;0.00;0.00;0.00;0.00;67.6;1 376;829.8;749.5
FCF/акцию, руб;0.00;0.00;0.00;0.00;1 835;-72.7;2 852;-3 837
BV/акцию, руб;0.00;0.00;0.00;0.00;5 723;6 785;7 386;7 988
Рентаб EBITDA, %;;;;;10.5%;10.0%;6.2%;5.2%
Чистая рентаб, %;;;;;0.5%;8.2%;3.9%;4.9%
Доходность FCF, %;;;;0.0%;35.3%;-0.5%;33.6%;-40.3%
ROE, %;;;;;1.1%;18.8%;10.2%;8.4%
ROA, %;;;;;0.6%;8.5%;4.0%;5.0%
P/E;;;;;76.9;10.4;10.2;12.7
P/FCF;;;;;2.83;-196.4;2.98;-2.48
P/S;;;;;0.37;0.86;0.40;0.62
P/BV;;;;;0.91;2.10;1.15;1.19
EV/EBITDA;;;;;2.25;7.49;2.99;10.9
Долг/EBITDA;;;;;-1.25;-1.06;-3.56;-1.02
R&D/CAPEX, %;;;;;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;;;;;2%;3%;3%;4%
Персонал, чел;;;;;;;;110
Произв.труда, млн руб/чел/год;;;;;;;;219.9
Расходы/чел/год, тыс.р;;;;;;;;29 218
