;2019;2020;2021;2022;2023;2024
Дата отчета;26.04.2023;26.04.2023;26.04.2023;26.04.2023;27.04.2024;24.04.2025
Валюта отчета;RUB;RUB;RUB;RUB;RUB;RUB
Выручка, млрд руб;;7.62;8.72;9.96;12.7;11.9
Операционная прибыль, млрд руб;;2.82;3.11;2.23;3.58;1.46
Чистая прибыль, млрд руб;;0.770;0.730;1.06;0.291;-0.623
Операционный денежный поток, млрд руб;;1.53;2.23;4.22;3.79;2.67
CAPEX, млрд руб;;1.84;2.16;4.26;4.80;3.86
FCF, млрд руб;;-0.310;0.070;0.047;-0.974;-1.70
Див доход, ао, %;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
Дивиденды/прибыль, %;;0%;0%;0%;0%;0%
Опер. расходы, млрд руб;;1.31;1.41;1.49;1.69;2.10
Себестоимость, млрд руб;;4.80;5.62;6.24;7.40;8.32
Активы, млрд руб;22.9;25.2;26.8;32.9;38.2;42.9
Чистые активы, млрд руб;16.4;17.6;18.8;21.2;23.5;23.5
Долг, млрд руб;1.28;1.92;1.85;3.20;5.75;8.44
Чистый долг, млрд руб;1.28;1.92;1.85;3.20;5.51;8.44
Цена акции ао, руб;18 850;43 450;31 100;23 600;31 500;46 500
Число акций ао, млн;0.120;0.120;0.120;0.120;0.120;0.120
Капитализация, млрд руб;2.27;5.22;3.74;2.84;3.79;5.59
EV, млрд руб;3.55;7.14;5.59;6.04;9.30;14.0
Баланс стоимость, млрд руб;16.4;17.6;18.8;21.2;23.5;23.5
EPS, руб;0.00;6 404;6 071;8 815;2 420;-5 181
FCF/акцию, руб;0.00;-2 578;582.1;390.9;-8 100;-14 104
BV/акцию, руб;136 470;146 616;156 014;176 139;195 765;195 765
Рентаб EBITDA, %;;0.0%;0.0%;0.0%;29.3%;13.2%
Чистая рентаб, %;;10.1%;8.4%;10.6%;2.3%;-5.2%
Доходность FCF, %;0.0%;-5.9%;1.9%;1.7%;-25.7%;-30.3%
ROE, %;0.0%;4.4%;3.9%;5.0%;1.2%;-2.6%
ROA, %;0.0%;3.1%;2.7%;3.2%;0.8%;-1.5%
P/E;;6.79;5.12;2.68;13.0;-8.98
P/FCF;;-16.9;53.4;60.4;-3.89;-3.30
P/S;;0.69;0.43;0.28;0.30;0.47
P/BV;0.14;0.30;0.20;0.13;0.16;0.24
R&D/CAPEX, %;;0.00%;0.00%;0.00%;0.00%;0.00%
CAPEX/Выручка, %;;24%;25%;43%;38%;33%
EBITDA , млрд руб;;;;;3.71;1.57
Амортизация , млрд руб;;;;;0.1;0.1
Расх на персонал , млрд руб;;;;;3.02;4.10
Процентные расходы , млрд руб;;;;;0.001;0.001
Наличность , млрд руб;;;;;0.239;0.005
EV/EBITDA;;;;;2.51;8.95
Долг/EBITDA;;;;;1.49;5.38
